District,Year,Crop,Season,Area,Production,Yield,Yield_Lag1,Yield_Lag2,Yield_3yr_Avg,Yield_3yr_Std
Ahilyanagar,2001,Groundnut,Kharif,5700.0,4500.0,0.7894736842105263,0.8970588235294118,0.7397260273972602,0.8087528450457327,0.08041869631231668
Ahilyanagar,2001,Groundnut,Summer,11000.0,17200.0,1.5636363636363637,1.6636363636363636,1.9716312056737588,1.7329679776488287,0.21265018765206825
Ahilyanagar,2001,Jowar,Kharif,200.0,100.0,0.5,0.875,0.875,0.75,0.21650635094610965
Ahilyanagar,2001,Jowar,Rabi,528900.0,175000.0,0.3308754017772736,0.3100057836899942,0.38310254866546256,0.34132791137757684,0.037652695523402085
Ahilyanagar,2001,Linseed,Rabi,1300.0,300.0,0.23076923076923078,0.25,0.2727272727272727,0.2511655011655012,0.02100328821787874
Ahilyanagar,2001,Maize,Kharif,6400.0,9800.0,1.53125,0.6285714285714286,1.484375,1.214732142857143,0.5081708409926765
Ahilyanagar,2001,Maize,Rabi,12300.0,22600.0,1.8373983739837398,1.1571428571428573,1.5795454545454546,1.524695561890684,0.34342870452438
Ahilyanagar,2001,Maize,Summer,1500.0,2100.0,1.4,1.6470588235294117,1.5333333333333334,1.526797385620915,0.12365902526831123
Ahilyanagar,2001,MoongGreen_Gram,Kharif,21000.0,3600.0,0.17142857142857143,0.4329896907216495,0.22023809523809523,0.274885452462772,0.1390802107425533
Ahilyanagar,2001,Niger_seed,Kharif,2200.0,400.0,0.18181818181818182,0.2608695652173913,0.25,0.2308959156785244,0.04284862696345999
Ahilyanagar,2001,Other_Kharif_pulses,Kharif,8900.0,2200.0,0.24719101123595505,0.33507853403141363,0.29310344827586204,0.29179099784774354,0.04395845834848238
Ahilyanagar,2001,Other_Rabi_pulses,Rabi,800.0,400.0,0.5,0.3333333333333333,0.4375,0.4236111111111111,0.08419691425682048
Ahilyanagar,2001,Ragi,Kharif,4600.0,7000.0,1.5217391304347827,0.8958333333333334,0.9615384615384616,1.1263703084355259,0.3439719029585457
Ahilyanagar,2001,Rapeseed_&Mustard,Rabi,100.0,10.0,0.1,0.5,0.0,0.19999999999999998,0.2645751311064591
Ahilyanagar,2001,Rice,Kharif,7300.0,4100.0,0.5616438356164384,0.6909090909090909,1.4035087719298245,0.8853538994851179,0.4533660005283933
Ahilyanagar,2001,Safflower,Rabi,27400.0,11700.0,0.42700729927007297,0.4769736842105263,0.5124223602484472,0.4721344479096821,0.042912664989096315
Ahilyanagar,2001,Sesamum,Kharif,800.0,300.0,0.375,0.18181818181818182,0.2222222222222222,0.2596801346801347,0.1018927137889984
Ahilyanagar,2001,Sesamum,Rabi,200.0,10.0,0.05,0.25,0.25,0.18333333333333335,0.11547005383792516
Ahilyanagar,2001,Small_millets,Kharif,1400.0,900.0,0.6428571428571429,0.5555555555555556,0.8333333333333334,0.6772486772486772,0.14204649480062218
Ahilyanagar,2001,Small_millets,Rabi,6000.0,2900.0,0.48333333333333334,0.25,0.25,0.48333333333333334,0.0
Ahilyanagar,2001,Soyabean,Kharif,7600.0,9000.0,1.1842105263157894,0.8611111111111112,1.3866666666666667,1.1439961013645223,0.2650755750242711
Ahilyanagar,2001,Sunflower,Kharif,8600.0,2900.0,0.3372093023255814,0.5047619047619047,0.3482142857142857,0.39672849760059065,0.09372134341764486
Ahilyanagar,2001,Sunflower,Rabi,5400.0,7000.0,1.2962962962962963,0.5128205128205128,0.5681818181818182,0.7924328757662091,0.4372356097621013
Ahilyanagar,2001,Sunflower,Summer,100.0,100.0,1.0,0.5,0.6666666666666666,0.7222222222222222,0.2545875386086578
Ahilyanagar,2001,Urad,Kharif,4500.0,900.0,0.2,0.5294117647058824,0.25,0.3264705882352941,0.17752138133320683
Ahilyanagar,2001,Wheat,Rabi,93800.0,156300.0,1.6663113006396588,1.4340021119324182,1.4078740157480314,1.5027291427733696,0.1422673930726887
Ahilyanagar,2002,Arhar_Tur,Kharif,14600.0,5700.0,0.3904109589041096,0.32335329341317365,0.49214659685863876,0.4019702830586407,0.08498828332888216
Ahilyanagar,2002,Bajra,Kharif,218400.0,158900.0,0.7275641025641025,0.4218106995884774,0.5743636921189819,0.5745794980905207,0.15287681572742406
Ahilyanagar,2002,Castor_seed,Kharif,100.0,10.0,0.1,0.5,0.4,0.3333333333333333,0.20816659994661327
Ahilyanagar,2002,Cottonlint,Kharif,10800.0,8300.0,0.7685185185185185,1.237037037037037,1.6305732484076434,1.2120429346543995,0.4315705251711339
Ahilyanagar,2002,Gram,Rabi,64500.0,26500.0,0.4108527131782946,0.5516666666666666,0.4967213114754098,0.486413563773457,0.0709706250590461
Ahilyanagar,2002,Groundnut,Kharif,5800.0,4000.0,0.6896551724137931,0.7894736842105263,0.8970588235294118,0.7920625600512438,0.10372605908165655
Ahilyanagar,2002,Groundnut,Summer,5800.0,9900.0,1.706896551724138,1.5636363636363637,1.6636363636363636,1.6447230929989551,0.07347893730443447
Ahilyanagar,2002,Jowar,Kharif,100.0,100.0,1.0,0.5,0.875,0.7916666666666666,0.26020824993326663
Ahilyanagar,2002,Jowar,Rabi,494900.0,117300.0,0.23701757930895131,0.3308754017772736,0.3100057836899942,0.29263292159207305,0.04928168993377553
Ahilyanagar,2002,Linseed,Rabi,1000.0,200.0,0.2,0.23076923076923078,0.25,0.22692307692307692,0.025220917401161363
Ahilyanagar,2002,Maize,Kharif,7000.0,12300.0,1.7571428571428571,1.53125,0.6285714285714286,1.305654761904762,0.5971501284730449
Ahilyanagar,2002,Maize,Rabi,11700.0,9100.0,0.7777777777777778,1.8373983739837398,1.1571428571428573,1.2574396696347916,0.5368831715773937
Ahilyanagar,2002,Maize,Summer,1100.0,1800.0,1.6363636363636365,1.4,1.6470588235294117,1.5611408199643495,0.13965446520328265
Ahilyanagar,2002,MoongGreen_Gram,Kharif,21000.0,10100.0,0.48095238095238096,0.17142857142857143,0.4329896907216495,0.361790214367534,0.16659313083185057
Ahilyanagar,2002,Niger_seed,Kharif,2600.0,700.0,0.2692307692307692,0.18181818181818182,0.2608695652173913,0.2373061720887808,0.04823551835878728
Ahilyanagar,2002,Other_Kharif_pulses,Kharif,13600.0,2400.0,0.17647058823529413,0.24719101123595505,0.33507853403141363,0.2529133778342209,0.07945866363732715
Ahilyanagar,2002,Other_Rabi_pulses,Rabi,600.0,200.0,0.3333333333333333,0.5,0.3333333333333333,0.38888888888888884,0.09622504486493771
Ahilyanagar,2002,Ragi,Kharif,4600.0,3900.0,0.8478260869565217,1.5217391304347827,0.8958333333333334,1.0884661835748792,0.3759923653302944
Ahilyanagar,2002,Rapeseed_&Mustard,Rabi,100.0,10.0,0.1,0.1,0.5,0.2333333333333333,0.23094010767585033
Ahilyanagar,2002,Rice,Kharif,7400.0,1700.0,0.22972972972972974,0.5616438356164384,0.6909090909090909,0.494094218751753,0.23789454354477102
Ahilyanagar,2002,Safflower,Rabi,24700.0,7800.0,0.3157894736842105,0.42700729927007297,0.4769736842105263,0.40659015238826995,0.08250898342509608
Ahilyanagar,2002,Sesamum,Kharif,1300.0,200.0,0.15384615384615385,0.375,0.18181818181818182,0.23688811188811187,0.1204233316911221
Ahilyanagar,2002,Sesamum,Rabi,100.0,10.0,0.1,0.05,0.25,0.13333333333333333,0.10408329997330666
Ahilyanagar,2002,Small_millets,Kharif,3400.0,1300.0,0.38235294117647056,0.6428571428571429,0.5555555555555556,0.5269218798630563,0.13259157330339086
Ahilyanagar,2002,Small_millets,Rabi,1700.0,400.0,0.23529411764705882,0.48333333333333334,0.25,0.32287581699346407,0.13915468607421813
Ahilyanagar,2002,Soyabean,Kharif,15100.0,18800.0,1.2450331125827814,1.1842105263157894,0.8611111111111112,1.096784916669894,0.20635274100425863
Ahilyanagar,2002,Sunflower,Kharif,9300.0,3500.0,0.3763440860215054,0.3372093023255814,0.5047619047619047,0.4061050977029972,0.08765133774236178
Ahilyanagar,2002,Sunflower,Rabi,4200.0,1800.0,0.42857142857142855,1.2962962962962963,0.5128205128205128,0.7458960792294125,0.4785183134004976
Ahilyanagar,2002,Urad,Kharif,4700.0,2200.0,0.46808510638297873,0.2,0.5294117647058824,0.39916562369628705,0.17518689734683868
Ahilyanagar,2002,Wheat,Rabi,70400.0,88500.0,1.2571022727272727,1.6663113006396588,1.4340021119324182,1.452471895099783,0.2052287913498912
Ahilyanagar,2003,Arhar_Tur,Kharif,9000.0,3000.0,0.3333333333333333,0.3904109589041096,0.32335329341317365,0.34903252855020556,0.03618053583235942
Ahilyanagar,2003,Bajra,Kharif,204100.0,70800.0,0.3468887800097991,0.7275641025641025,0.4218106995884774,0.4987545273874597,0.20166479558347636
Ahilyanagar,2003,Cottonlint,Kharif,10400.0,10400.0,1.0,0.7685185185185185,1.237037037037037,1.0018518518518518,0.23426474887434015
Ahilyanagar,2003,Gram,Rabi,50900.0,20500.0,0.4027504911591356,0.4108527131782946,0.5516666666666666,0.45508995700136556,0.08373593695507231
Ahilyanagar,2003,Groundnut,Kharif,4200.0,2600.0,0.6190476190476191,0.6896551724137931,0.7894736842105263,0.699392158557313,0.08562924498147348
Ahilyanagar,2003,Groundnut,Summer,1300.0,2400.0,1.8461538461538463,1.706896551724138,1.5636363636363637,1.705562253838116,0.1412634674823625
Ahilyanagar,2003,Jowar,Kharif,100.0,200.0,2.0,1.0,0.5,1.1666666666666667,0.7637626158259733
Ahilyanagar,2003,Jowar,Rabi,478300.0,55100.0,0.11519966548191511,0.23701757930895131,0.3308754017772736,0.22769754885604668,0.1081395072689372
Ahilyanagar,2003,Linseed,Rabi,800.0,200.0,0.25,0.2,0.23076923076923078,0.22692307692307692,0.025220917401161363
Ahilyanagar,2003,Maize,Kharif,6700.0,6400.0,0.9552238805970149,1.7571428571428571,1.53125,1.4145389125799575,0.41350286538446057
Ahilyanagar,2003,Maize,Rabi,10500.0,5400.0,0.5142857142857142,0.7777777777777778,1.8373983739837398,1.0431539553490772,0.7003393208153181
Ahilyanagar,2003,MoongGreen_Gram,Kharif,8800.0,2500.0,0.2840909090909091,0.48095238095238096,0.17142857142857143,0.31215728715728713,0.15665898744999132
Ahilyanagar,2003,Niger_seed,Kharif,2100.0,600.0,0.2857142857142857,0.2692307692307692,0.18181818181818182,0.24558774558774557,0.055837662257977316
Ahilyanagar,2003,Other_Kharif_pulses,Kharif,10700.0,1600.0,0.14953271028037382,0.17647058823529413,0.24719101123595505,0.19106476991720767,0.05043836377804317
Ahilyanagar,2003,Other_Rabi_pulses,Rabi,200.0,0.0,0.0,0.3333333333333333,0.5,0.2777777777777778,0.25458753860865785
Ahilyanagar,2003,Ragi,Kharif,4600.0,3700.0,0.8043478260869565,0.8478260869565217,1.5217391304347827,1.0579710144927537,0.40222287206892526
Ahilyanagar,2003,Rapeseed_&Mustard,Rabi,200.0,100.0,0.5,0.1,0.1,0.2333333333333333,0.23094010767585033
Ahilyanagar,2003,Rice,Kharif,7600.0,5900.0,0.7763157894736842,0.22972972972972974,0.5616438356164384,0.522563118273284,0.2753807491958121
Ahilyanagar,2003,Safflower,Rabi,20300.0,3400.0,0.16748768472906403,0.3157894736842105,0.42700729927007297,0.3034281525611158,0.1302006500667707
Ahilyanagar,2003,Sesamum,Kharif,700.0,200.0,0.2857142857142857,0.15384615384615385,0.375,0.2715201465201465,0.11125808333670285
Ahilyanagar,2003,Sesamum,Rabi,100.0,100.0,1.0,0.1,0.05,0.3833333333333333,0.5346338310781813
